,Name,Position,teamAbbrev,Salary,AvgPointsPerGame
121,Danuel House,SG,was,3000.0,0.0
122,Al Horford,C,bos,6500.0,0.0
123,Derrick Jones,SF,pho,3000.0,0.0
124,Bradley Beal,SG,was,5400.0,23.75
125,Josh Huestis,SF,okc,3000.0,0.0
126,Marcus Smart,PG/SG,bos,4400.0,22.25
127,Justin Holiday,SG/SF,nyk,3100.0,15.0
128,Buddy Hield,SG,nor,3400.0,31.5
129,Jason Smith,PF/C,was,3000.0,0.0
130,JaMychal Green,SF/PF,mem,4700.0,34.5
131,Dennis Schroder,PG,atl,6600.0,24.0
132,Tyreke Evans,SG,nor,6400.0,0.0
133,Evan Turner,SG/SF,por,4200.0,29.5
134,Luol Deng,SF/PF,lal,4600.0,36.0
135,Roy Hibbert,C,cha,3700.0,0.0
136,Derrick Favors,PF,uta,6400.0,9.25
137,Michael Carter-Williams,PG,chi,3400.0,0.0
138,Anthony Morrow,SF,okc,3000.0,4.0
139,Greivis Vasquez,PG,bkn,3000.0,0.0
140,A.J. Hammons,C,dal,3000.0,0.0
141,Beno Udrih,PG,det,3200.0,19.25
142,Allen Crabbe,SG/SF,por,4200.0,22.75
143,Austin Rivers,PG,lac,3300.0,8.5
144,Marc Gasol,C,mem,6100.0,39.75
145,Ryan Kelly,SF,atl,3000.0,0.0
146,Semaj Christon,PG,okc,3000.0,7.5
147,Diamond Stone,C,lac,3000.0,0.0
148,Justin Hamilton,C,bkn,4000.0,15.75
149,Leandro Barbosa,SG,pho,3000.0,3.5
150,Reggie Jackson,PG,det,6400.0,0.0
151,Nick Collison,C,okc,3000.0,7.0
152,Brandon Jennings,PG,nyk,3900.0,19.75
153,Joffrey Lauvergne,PF/C,okc,3000.0,12.5
154,Marcus Thornton,SG,was,3000.0,8.0
155,Cody Zeller,C,cha,4300.0,16.25
156,Jake Layman,PF,por,3000.0,0.0
157,Terrence Ross,SG/SF,tor,3000.0,25.0
158,Joakim Noah,C,nyk,4900.0,8.5
159,Tyson Chandler,C,pho,4200.0,31.0
160,Chris McCullough,PF,bkn,3000.0,0.0
161,Julius Randle,PF,lal,6300.0,22.5
162,Bobby Portis,PF,chi,3000.0,14.25
163,Ersan Ilyasova,PF,phi,3800.0,21.25
164,Reggie Bullock,SG,det,3000.0,0.0
165,Sergio Rodriguez,PG,phi,4900.0,22.75
166,Sheldon McClellan,SG,was,3000.0,0.0
167,Joe Harris,SG,bkn,3100.0,18.5
168,Markieff Morris,SF/PF,was,5800.0,14.25
169,Daniel Ochefu,C,was,3000.0,0.0
170,Brandon Ingram,SF,lal,3800.0,10.0
171,James Ennis,SG/SF,mem,4700.0,34.0
172,Ian Mahinmi,C,was,3000.0,0.0
173,Andre Roberson,SG/SF,okc,4100.0,10.5
174,T.J. Warren,SF,pho,5900.0,41.75
175,Marcin Gortat,C,was,5600.0,37.5
176,Jerami Grant,SF,okc,3900.0,12.0
177,Salah Mejri,C,dal,3000.0,3.25
178,Otto Porter,SF,was,4500.0,41.75
