['20161108', 'sac', '-6½']
['20161108', 'dal', '+5']
['20161108', 'lac', '-5']
['20161109', 'bkn', '+8']
['20161109', 'nyk', '-8']
['20161109', 'phi', '+11½']
['20161109', 'ind', '-11½']
['20161109', 'uta', '+3']
['20161109', 'cha', '-3']
['20161109', 'bos', '-1']
['20161109', 'was', '+1']
['20161109', 'min', '+3']
['20161109', 'orl', '-3']
['20161109', 'chi', '+3']
['20161109', 'atl', '-3']
['20161109', 'tor', '+4']
['20161109', 'okc', '-4']
['20161109', 'det', '-4½']
['20161109', 'phx', '+4½']
['20161109', 'hou', '+9']
['20161109', 'sas', '-9']
['20161109', 'por', '+10½']
['20161109', 'lal', '-10½']
['20161109', 'dal', '+18½']
['20161109', 'gsw', '-18½']
['20161110', 'nop', '+5½']
['20161110', 'mil', '-5½']
['20161110', 'chi', '-1']
['20161110', 'mia', '+1']
['20161110', 'gsw', '-7']
['20161110', 'den', '+7']
['20161110', 'lac', '+5½']
['20161110', 'sac', '-5½']
['20161111', 'cle', '-8']
['20161111', 'was', '+8']
['20161111', 'tor', 'PK-115']
['20161111', 'cha', 'PK-105']
['20161111', 'ind', '-5½']
['20161111', 'phi', '+5½']
['20161111', 'uta', '-5']
['20161111', 'orl', '+5']
['20161111', 'nyk', '+4½']
['20161111', 'bos', '-4½']
['20161111', 'lal', '-5']
['20161111', 'okc', '+5']
['20161111', 'det', '+9']
['20161111', 'sas', '-9']
['20161111', 'sac', '+7']
['20161111', 'por', '-7']
['20161112', 'lac', '-1']
['20161112', 'nop', '+1']
['20161112', 'bos', '-1½']
['20161112', 'ind', '+1½']
['20161112', 'phi', '+15']
['20161112', 'atl', '-15']
['20161112', 'nyk', '+7½']
['20161112', 'tor', '-7½']
['20161112', 'lal', '-5½']
['20161112', 'min', '+5½']
['20161112', 'uta', '-1½']
['20161112', 'mia', '+1½']
['20161112', 'was', '+10']
['20161112', 'chi', '-10']
['20161112', 'sas', '-2']
['20161112', 'hou', '+2']
['20161112', 'mem', '+3']
['20161112', 'mil', '-3']
['20161112', 'det', '+5']
['20161112', 'den', '-5']
['20161112', 'bkn', '+5']
['20161112', 'phx', '-5']
['20161113', 'cha', '+7½']
['20161113', 'cle', '-7½']
['20161113', 'lac', '+1']
['20161113', 'min', '-1']
['20161113', 'orl', '+10']
['20161113', 'okc', '-10']
['20161113', 'phx', '+17']
